"","condition","chain","gen","round","parent","word","meaning","isSpikyMeaning","increaseIconicity","wordCount","wordCountSameMeaning","inFinalLang","guessedMeaning","correctGuess","correctSpikiness"
"99","Comm","4",1,34,"tejimabe","tajeba","9","FALSE",0.028238134505572,1,1,TRUE,"6","FALSE","TRUE"
"100","Comm","4",1,35,"romiba","talulu","10","FALSE",0.000977795874301357,1,1,FALSE,"2","FALSE","FALSE"
"101","Comm","4",1,39,"sitobuna","tajibe","6","FALSE",-0.0958611238169373,2,1,FALSE,"9","FALSE","TRUE"
"102","Comm","4",1,41,"neroro","dejo","5","TRUE",0.144916056886923,1,1,FALSE,"3","FALSE","TRUE"
"103","Comm","4",2,2,"doje","rombembe","0","TRUE",-0.220817795892432,6,1,FALSE,"9","FALSE","FALSE"
"104","Comm","4",2,5,"rombembe","romembe","0","TRUE",0,4,1,FALSE,"1","FALSE","TRUE"
"105","Comm","4",2,6,"doje","rombembo","3","TRUE",-0.221946236779108,2,1,FALSE,"3","TRUE","TRUE"
"106","Comm","4",2,7,"falutelu","falucito","10","FALSE",-0.03249657091335,4,1,FALSE,"11","FALSE","TRUE"
"107","Comm","4",2,8,"falucitu","falucite","6","FALSE",-0.00119432104100703,1,1,FALSE,"11","FALSE","TRUE"
"108","Comm","4",2,10,"falucitu","filocute","7","FALSE",-0.030717770499713,1,1,FALSE,"7","TRUE","TRUE"
"109","Comm","4",2,16,"falucito","faculito","10","FALSE",-0.0222413971964492,4,2,TRUE,"10","TRUE","TRUE"
"110","Comm","4",2,18,"falucito","faciluto","11","FALSE",-0.0127423989421827,1,1,FALSE,"10","FALSE","TRUE"
"111","Comm","4",2,23,"rombembe","robembe","8","FALSE",-0.0063566532436643,3,1,FALSE,"8","TRUE","TRUE"
"112","Comm","4",2,31,"faciluto","romembo","11","FALSE",0.0928689563046121,1,1,FALSE,"2","FALSE","FALSE"
"113","Comm","4",2,38,"romembe","rombeber","0","TRUE",0.0182803691796094,1,1,TRUE,"10","FALSE","FALSE"
"114","Comm","4",3,15,"romembe","bobembo","4","TRUE",0.0667682662839613,1,1,FALSE,"7","FALSE","FALSE"
"115","Comm","4",3,28,"falucito","falucit","9","FALSE",-0.0100497440397116,1,1,TRUE,"9","TRUE","TRUE"
"116","Comm","4",3,46,"rombeber","romkbeber","0","TRUE",0.146253776254322,1,1,TRUE,"0","TRUE","TRUE"
"117","Comm","4",4,3,"rombembe","romkbebe","4","TRUE",0.156063894809306,9,3,TRUE,"0","FALSE","TRUE"
"118","Comm","4",4,4,"rombembe","rombebe","1","TRUE",0.0131252562963446,5,3,TRUE,"1","TRUE","TRUE"
"119","Comm","4",4,38,"rombembo","rombebo","2","TRUE",0.0132343428426398,4,1,FALSE,"2","TRUE","TRUE"
"120","Comm","4",5,8,"romkbebe","romkbebo","5","TRUE",-0.000189519514341541,4,2,FALSE,"0","FALSE","TRUE"
"121","Comm","4",5,25,"faculito","facultito","7","FALSE",0,1,1,TRUE,"0","FALSE","FALSE"
"122","Comm","4",5,26,"falucito","falulito","11","FALSE",0.00462465968981007,2,1,FALSE,"8","FALSE","TRUE"
"123","Comm","4",5,37,"romkbebo","ronbebo","5","TRUE",-0.1383200759453,2,1,TRUE,"4","FALSE","TRUE"
"124","Comm","4",5,40,"falucito","ronkbebe","10","FALSE",-0.0529112991599137,1,1,FALSE,"4","FALSE","FALSE"
"125","Comm","4",6,20,"romkbebe","ronbebe","4","TRUE",-0.137545237808324,3,3,TRUE,"4","TRUE","TRUE"
"126","Comm","5",1,3,"fukopo","faludapu","5","TRUE",-0.21312255262625,1,1,FALSE,"11","FALSE","FALSE"
