"X","condition","chain","gen","trial.nr","context","target.meaning","word.produced","innovation","innovationForMeaning","innovation.mutation","guessedMeaning","correctGuess","correctSpikiness","Human","contextString","targetString","estimatedSpikinessRating"
44,"Comm",0,1,116,"[7, 4, 3, 9, 6, 0]",9,"kusiju",TRUE,TRUE,TRUE,0,FALSE,FALSE,TRUE,"RoundGreen,SpikyGreenThick,SpikyRedThick,RoundRedThick,RoundRed,SpikyRed","RoundRedThick",4.26207272068649
45,"Comm",0,1,117,"[3, 6, 1, 9, 2, 0]",1,"timajeba",TRUE,TRUE,FALSE,9,FALSE,FALSE,TRUE,"SpikyRedThick,RoundRed,SpikyGreen,RoundRedThick,SpikyBlue,SpikyRed","SpikyGreen",4.11586208495803
46,"Comm",0,1,118,"[0, 6, 2, 3, 9, 5]",5,"pilu",TRUE,TRUE,FALSE,5,TRUE,TRUE,TRUE,"SpikyRed,RoundRed,SpikyBlue,SpikyRedThick,RoundRedThick,SpikyBlueThick","SpikyBlueThick",3.97601715360259
47,"Comm",0,1,119,"[8, 0, 6, 4, 11, 9]",6,"doje",TRUE,TRUE,FALSE,0,FALSE,FALSE,TRUE,"RoundBlue,SpikyRed,RoundRed,SpikyGreenThick,RoundBlueThick,RoundRedThick","RoundRed",4.10019842867354
48,"Comm",0,1,120,"[9, 8, 2, 4, 0, 6]",0,"doje",TRUE,FALSE,FALSE,0,TRUE,TRUE,TRUE,"RoundRedThick,RoundBlue,SpikyBlue,SpikyGreenThick,SpikyRed,RoundRed","SpikyRed",4.10019842867354
49,"Comm",0,2,73,"[4, 7, 0, 11, 8, 2]",0,"doje",FALSE,FALSE,FALSE,2,FALSE,TRUE,TRUE,"SpikyGreenThick,RoundGreen,SpikyRed,RoundBlueThick,RoundBlue,SpikyBlue","SpikyRed",4.10019842867354
50,"Comm",0,2,74,"[3, 7, 10, 11, 5, 4]",10,"kite",TRUE,TRUE,FALSE,3,FALSE,FALSE,TRUE,"SpikyRedThick,RoundGreen,RoundGreenThick,RoundBlueThick,SpikyBlueThick,SpikyGreenThick","RoundGreenThick",4.19798720840729
51,"Comm",0,2,75,"[9, 6, 0, 8, 3, 4]",3,"kite",FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE,"RoundRedThick,RoundRed,SpikyRed,RoundBlue,SpikyRedThick,SpikyGreenThick","SpikyRedThick",4.19798720840729
52,"Comm",0,2,76,"[2, 11, 10, 1, 3, 6]",2,"fadelu",TRUE,TRUE,TRUE,2,TRUE,TRUE,TRUE,"SpikyBlue,RoundBlueThick,RoundGreenThick,SpikyGreen,SpikyRedThick,RoundRed","SpikyBlue",3.90132912745082
53,"Comm",0,2,77,"[10, 1, 3, 0, 8, 9]",1,"neroro",TRUE,TRUE,FALSE,8,FALSE,FALSE,TRUE,"RoundGreenThick,SpikyGreen,SpikyRedThick,SpikyRed,RoundBlue,RoundRedThick","SpikyGreen",3.93578277018949
54,"Comm",0,2,78,"[5, 1, 2, 11, 10, 3]",3,"kite",FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE,"SpikyBlueThick,SpikyGreen,SpikyBlue,RoundBlueThick,RoundGreenThick,SpikyRedThick","SpikyRedThick",4.19798720840729
55,"Comm",0,2,79,"[8, 4, 5, 1, 2, 6]",2,"kujisu",TRUE,TRUE,TRUE,5,FALSE,TRUE,TRUE,"RoundBlue,SpikyGreenThick,SpikyBlueThick,SpikyGreen,SpikyBlue,RoundRed","SpikyBlue",4.24458992325175
56,"Comm",0,2,80,"[8, 10, 1, 2, 4, 11]",11,"neroro",TRUE,TRUE,FALSE,11,TRUE,TRUE,TRUE,"RoundBlue,RoundGreenThick,SpikyGreen,SpikyBlue,SpikyGreenThick,RoundBlueThick","RoundBlueThick",3.93578277018949
57,"Comm",0,2,81,"[2, 7, 11, 10, 0, 8]",11,"neroro",FALSE,TRUE,FALSE,8,FALSE,TRUE,TRUE,"SpikyBlue,RoundGreen,RoundBlueThick,RoundGreenThick,SpikyRed,RoundBlue","RoundBlueThick",3.93578277018949
58,"Comm",0,2,82,"[9, 5, 2, 8, 0, 3]",9,"kujisu",TRUE,TRUE,FALSE,5,FALSE,FALSE,TRUE,"RoundRedThick,SpikyBlueThick,SpikyBlue,RoundBlue,SpikyRed,SpikyRedThick","RoundRedThick",4.24458992325175
59,"Comm",0,2,83,"[6, 3, 1, 9, 11, 0]",6,"dejuzme",FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,"RoundRed,SpikyRedThick,SpikyGreen,RoundRedThick,RoundBlueThick,SpikyRed","RoundRed",4.1426714355699
60,"Comm",0,2,84,"[7, 4, 8, 5, 6, 3]",6,"fadelu",TRUE,TRUE,FALSE,8,FALSE,TRUE,TRUE,"RoundGreen,SpikyGreenThick,RoundBlue,SpikyBlueThick,RoundRed,SpikyRedThick","RoundRed",3.90132912745082
61,"Comm",0,2,85,"[10, 5, 9, 11, 2, 6]",9,"fagudelu",TRUE,TRUE,TRUE,11,FALSE,TRUE,TRUE,"RoundGreenThick,SpikyBlueThick,RoundRedThick,RoundBlueThick,SpikyBlue,RoundRed","RoundRedThick",3.8958854792737
62,"Comm",0,2,86,"[5, 2, 6, 11, 9, 8]",8,"dejuzme",TRUE,TRUE,FALSE,6,FALSE,TRUE,TRUE,"SpikyBlueThick,SpikyBlue,RoundRed,RoundBlueThick,RoundRedThick,RoundBlue","RoundBlue",4.1426714355699
63,"Comm",0,2,87,"[7, 3, 6, 10, 11, 2]",10,"kujisu",TRUE,TRUE,FALSE,2,FALSE,FALSE,TRUE,"RoundGreen,SpikyRedThick,RoundRed,RoundGreenThick,RoundBlueThick,SpikyBlue","RoundGreenThick",4.24458992325175
64,"Comm",0,2,88,"[10, 0, 5, 1, 7, 3]",7,"neroro",TRUE,TRUE,FALSE,10,FALSE,TRUE,TRUE,"RoundGreenThick,SpikyRed,SpikyBlueThick,SpikyGreen,RoundGreen,SpikyRedThick","RoundGreen",3.93578277018949
65,"Comm",0,2,89,"[4, 3, 11, 7, 6, 10]",7,"neroro",FALSE,TRUE,FALSE,11,FALSE,TRUE,TRUE,"SpikyGreenThick,SpikyRedThick,RoundBlueThick,RoundGreen,RoundRed,RoundGreenThick","RoundGreen",3.93578277018949
66,"Comm",0,2,90,"[7, 10, 4, 5, 3, 11]",5,"kite",TRUE,TRUE,FALSE,3,FALSE,TRUE,TRUE,"RoundGreen,RoundGreenThick,SpikyGreenThick,SpikyBlueThick,SpikyRedThick,RoundBlueThick","SpikyBlueThick",4.19798720840729
67,"Comm",0,2,91,"[8, 10, 0, 2, 9, 6]",8,"fagudelu",TRUE,TRUE,FALSE,8,TRUE,TRUE,TRUE,"RoundBlue,RoundGreenThick,SpikyRed,SpikyBlue,RoundRedThick,RoundRed","RoundBlue",3.8958854792737
68,"Comm",0,2,92,"[4, 2, 11, 1, 6, 0]",1,"dejume",TRUE,TRUE,TRUE,1,TRUE,TRUE,TRUE,"SpikyGreenThick,SpikyBlue,RoundBlueThick,SpikyGreen,RoundRed,SpikyRed","SpikyGreen",4.09038816103838
69,"Comm",0,2,93,"[3, 7, 5, 1, 10, 9]",5,"duje",TRUE,TRUE,TRUE,10,FALSE,FALSE,TRUE,"SpikyRedThick,RoundGreen,SpikyBlueThick,SpikyGreen,RoundGreenThick,RoundRedThick","SpikyBlueThick",4.11932965186831
70,"Comm",0,2,94,"[6, 9, 3, 0, 8, 2]",0,"kite",TRUE,TRUE,FALSE,3,FALSE,TRUE,TRUE,"RoundRed,RoundRedThick,SpikyRedThick,SpikyRed,RoundBlue,SpikyBlue","SpikyRed",4.19798720840729
71,"Comm",0,2,95,"[4, 10, 6, 2, 5, 8]",4,"dejuzme",FALSE,FALSE,FALSE,10,FALSE,FALSE,TRUE,"SpikyGreenThick,RoundGreenThick,RoundRed,SpikyBlue,SpikyBlueThick,RoundBlue","SpikyGreenThick",4.1426714355699
72,"Comm",0,2,96,"[4, 9, 11, 3, 2, 10]",4,"dejuzme",FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE,"SpikyGreenThick,RoundRedThick,RoundBlueThick,SpikyRedThick,SpikyBlue,RoundGreenThick","SpikyGreenThick",4.1426714355699
73,"Comm",0,2,97,"[10, 9, 5, 7, 1, 4]",10,"duje",TRUE,TRUE,FALSE,4,FALSE,FALSE,TRUE,"RoundGreenThick,RoundRedThick,SpikyBlueThick,RoundGreen,SpikyGreen,SpikyGreenThick","RoundGreenThick",4.11932965186831
74,"Comm",0,2,98,"[5, 9, 4, 7, 3, 0]",4,"kite",TRUE,TRUE,FALSE,3,FALSE,TRUE,TRUE,"SpikyBlueThick,RoundRedThick,SpikyGreenThick,RoundGreen,SpikyRedThick,SpikyRed","SpikyGreenThick",4.19798720840729
75,"Comm",0,2,99,"[11, 5, 9, 2, 10, 1]",5,"pilu",TRUE,FALSE,FALSE,5,TRUE,TRUE,TRUE,"RoundBlueThick,SpikyBlueThick,RoundRedThick,SpikyBlue,RoundGreenThick,SpikyGreen","SpikyBlueThick",3.97601715360259
76,"Comm",0,2,100,"[8, 5, 0, 4, 1, 6]",5,"pilu",FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE,"RoundBlue,SpikyBlueThick,SpikyRed,SpikyGreenThick,SpikyGreen,RoundRed","SpikyBlueThick",3.97601715360259
77,"Comm",0,2,101,"[7, 4, 9, 8, 1, 3]",8,"fagudelu",FALSE,TRUE,FALSE,7,FALSE,TRUE,TRUE,"RoundGreen,SpikyGreenThick,RoundRedThick,RoundBlue,SpikyGreen,SpikyRedThick","RoundBlue",3.8958854792737
78,"Comm",0,2,102,"[11, 4, 0, 2, 3, 9]",3,"kite",FALSE,FALSE,FALSE,4,FALSE,TRUE,TRUE,"RoundBlueThick,SpikyGreenThick,SpikyRed,SpikyBlue,SpikyRedThick,RoundRedThick","SpikyRedThick",4.19798720840729
79,"Comm",0,2,103,"[8, 11, 7, 0, 5, 3]",11,"neroro",FALSE,TRUE,FALSE,8,FALSE,TRUE,TRUE,"RoundBlue,RoundBlueThick,RoundGreen,SpikyRed,SpikyBlueThick,SpikyRedThick","RoundBlueThick",3.93578277018949
80,"Comm",0,2,104,"[5, 6, 10, 2, 1, 11]",2,"pilu",TRUE,TRUE,FALSE,5,FALSE,TRUE,TRUE,"SpikyBlueThick,RoundRed,RoundGreenThick,SpikyBlue,SpikyGreen,RoundBlueThick","SpikyBlue",3.97601715360259
81,"Comm",0,2,105,"[8, 5, 9, 2, 11, 3]",3,"kite",FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE,"RoundBlue,SpikyBlueThick,RoundRedThick,SpikyBlue,RoundBlueThick,SpikyRedThick","SpikyRedThick",4.19798720840729
82,"Comm",0,2,106,"[9, 10, 11, 6, 7, 1]",6,"fagudelu",TRUE,TRUE,FALSE,11,FALSE,TRUE,TRUE,"RoundRedThick,RoundGreenThick,RoundBlueThick,RoundRed,RoundGreen,SpikyGreen","RoundRed",3.8958854792737
83,"Comm",0,2,107,"[2, 3, 9, 7, 4, 5]",9,"fagudelu",FALSE,TRUE,FALSE,9,TRUE,TRUE,TRUE,"SpikyBlue,SpikyRedThick,RoundRedThick,RoundGreen,SpikyGreenThick,SpikyBlueThick","RoundRedThick",3.8958854792737
84,"Comm",0,2,108,"[3, 1, 9, 11, 6, 5]",1,"dejume",FALSE,TRUE,FALSE,1,TRUE,TRUE,TRUE,"SpikyRedThick,SpikyGreen,RoundRedThick,RoundBlueThick,RoundRed,SpikyBlueThick","SpikyGreen",4.09038816103838
85,"Comm",0,2,109,"[3, 4, 1, 5, 11, 9]",1,"dejuzme",TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,"SpikyRedThick,SpikyGreenThick,SpikyGreen,SpikyBlueThick,RoundBlueThick,RoundRedThick","SpikyGreen",4.1426714355699
86,"Comm",0,2,110,"[2, 6, 10, 3, 8, 7]",8,"neroro",TRUE,TRUE,FALSE,8,TRUE,TRUE,TRUE,"SpikyBlue,RoundRed,RoundGreenThick,SpikyRedThick,RoundBlue,RoundGreen","RoundBlue",3.93578277018949
87,"Comm",0,2,111,"[1, 7, 9, 2, 0, 5]",2,"pilu",FALSE,TRUE,FALSE,5,FALSE,TRUE,TRUE,"SpikyGreen,RoundGreen,RoundRedThick,SpikyBlue,SpikyRed,SpikyBlueThick","SpikyBlue",3.97601715360259
88,"Comm",0,2,112,"[7, 2, 4, 0, 10, 5]",7,"dejume",TRUE,TRUE,FALSE,4,FALSE,FALSE,TRUE,"RoundGreen,SpikyBlue,SpikyGreenThick,SpikyRed,RoundGreenThick,SpikyBlueThick","RoundGreen",4.09038816103838
89,"Comm",0,2,113,"[7, 11, 6, 5, 3, 0]",6,"kiasu",TRUE,TRUE,TRUE,0,FALSE,FALSE,TRUE,"RoundGreen,RoundBlueThick,RoundRed,SpikyBlueThick,SpikyRedThick,SpikyRed","RoundRed",4.18816612242494
90,"Comm",0,2,114,"[4, 6, 1, 2, 8, 9]",9,"kiasu",TRUE,TRUE,FALSE,9,TRUE,TRUE,TRUE,"SpikyGreenThick,RoundRed,SpikyGreen,SpikyBlue,RoundBlue,RoundRedThick","RoundRedThick",4.18816612242494
91,"Comm",0,2,115,"[10, 7, 3, 6, 8, 11]",7,"dejuzme",TRUE,TRUE,FALSE,7,TRUE,TRUE,TRUE,"RoundGreenThick,RoundGreen,SpikyRedThick,RoundRed,RoundBlue,RoundBlueThick","RoundGreen",4.1426714355699
92,"Comm",0,2,116,"[11, 10, 9, 0, 2, 7]",11,"faludelu",TRUE,FALSE,FALSE,11,TRUE,TRUE,TRUE,"RoundBlueThick,RoundGreenThick,RoundRedThick,SpikyRed,SpikyBlue,RoundGreen","RoundBlueThick",3.88505132857922
93,"Comm",0,2,117,"[9, 5, 8, 3, 0, 11]",0,"kite",FALSE,TRUE,FALSE,3,FALSE,TRUE,TRUE,"RoundRedThick,SpikyBlueThick,RoundBlue,SpikyRedThick,SpikyRed,RoundBlueThick","SpikyRed",4.19798720840729
94,"Comm",0,2,118,"[10, 11, 8, 7, 0, 6]",10,"dejuzme",TRUE,TRUE,FALSE,7,FALSE,TRUE,TRUE,"RoundGreenThick,RoundBlueThick,RoundBlue,RoundGreen,SpikyRed,RoundRed","RoundGreenThick",4.1426714355699
95,"Comm",0,2,119,"[8, 4, 6, 11, 10, 3]",4,"jutisu",TRUE,TRUE,TRUE,4,TRUE,TRUE,TRUE,"RoundBlue,SpikyGreenThick,RoundRed,RoundBlueThick,RoundGreenThick,SpikyRedThick","SpikyGreenThick",4.14472967792342
96,"Comm",0,2,120,"[1, 0, 3, 5, 6, 2]",0,"kite",FALSE,TRUE,FALSE,3,FALSE,TRUE,TRUE,"SpikyGreen,SpikyRed,SpikyRedThick,SpikyBlueThick,RoundRed,SpikyBlue","SpikyRed",4.19798720840729
97,"Comm",0,3,73,"[8, 5, 6, 3, 0, 7]",0,"kite",FALSE,FALSE,FALSE,0,TRUE,TRUE,TRUE,"RoundBlue,SpikyBlueThick,RoundRed,SpikyRedThick,SpikyRed,RoundGreen","SpikyRed",4.19798720840729
98,"Comm",0,3,74,"[4, 3, 5, 11, 0, 9]",11,"neroro",FALSE,FALSE,FALSE,11,TRUE,TRUE,TRUE,"SpikyGreenThick,SpikyRedThick,SpikyBlueThick,RoundBlueThick,SpikyRed,RoundRedThick","RoundBlueThick",3.93578277018949
99,"Comm",0,3,75,"[6, 10, 1, 0, 2, 4]",6,"nagudelo",TRUE,TRUE,TRUE,10,FALSE,TRUE,TRUE,"RoundRed,RoundGreenThick,SpikyGreen,SpikyRed,SpikyBlue,SpikyGreenThick","RoundRed",3.89122147284249
