"Cond","Chain","Gen","Item","Shape","Colour","Border","Code","Word","RatedSpikiness"
"Communication",2,3,"SpikyGreenThick","Picudo","Verde","Grueso",158,"rombembe",2.266666667
"Communication",2,3,"SpikyBlueThick","Picudo","Azul","Grueso",168,"rombembo",2
"Communication",2,3,"RoundRed","Redondo","Rojo","Fino",247,"falucito",3
"Communication",2,3,"RoundGreen","Redondo","Verde","Fino",257,"faculito",3.1875
"Communication",2,3,"RoundBlue","Redondo","Azul","Fino",267,"faculito",3.1875
"Communication",2,3,"RoundRedThick","Redondo","Rojo","Grueso",248,"falucit",3.933333333
"Communication",2,3,"RoundGreenThick","Redondo","Verde","Grueso",258,"faculito",3.1875
"Communication",2,3,"RoundBlueThick","Redondo","Azul","Grueso",268,"faculito",3.1875
"Communication",2,4,"SpikyRed","Picudo","Rojo","Fino",147,"romkbebe",4.6875
"Communication",2,4,"SpikyGreen","Picudo","Verde","Fino",157,"rombebe",2.666666667
"Communication",2,4,"SpikyBlue","Picudo","Azul","Fino",167,"rombembo",2
"Communication",2,4,"SpikyRedThick","Picudo","Rojo","Grueso",148,"pilu",3.9375
"Communication",2,4,"SpikyGreenThick","Picudo","Verde","Grueso",158,"romkbebe",4.6875
"Communication",2,4,"SpikyBlueThick","Picudo","Azul","Grueso",168,"rombebo",2.666666667
"Communication",2,4,"RoundRed","Redondo","Rojo","Fino",247,"faculito",3.1875
"Communication",2,4,"RoundGreen","Redondo","Verde","Fino",257,"faculito",3.1875
"Communication",2,4,"RoundBlue","Redondo","Azul","Fino",267,"faculito",3.1875
"Communication",2,4,"RoundRedThick","Redondo","Rojo","Grueso",248,"rombebe",2.666666667
"Communication",2,4,"RoundGreenThick","Redondo","Verde","Grueso",258,"falucito",3
"Communication",2,4,"RoundBlueThick","Redondo","Azul","Grueso",268,"falucito",3
"Communication",2,5,"SpikyRed","Picudo","Rojo","Fino",147,"romkbebe",4.6875
"Communication",2,5,"SpikyGreen","Picudo","Verde","Fino",157,"romkbebo",5.133333333
"Communication",2,5,"SpikyBlue","Picudo","Azul","Fino",167,"rombebo",2.666666667
"Communication",2,5,"SpikyRedThick","Picudo","Rojo","Grueso",148,"pilu",3.9375
"Communication",2,5,"SpikyGreenThick","Picudo","Verde","Grueso",158,"romkbebe",4.6875
"Communication",2,5,"SpikyBlueThick","Picudo","Azul","Grueso",168,"ronbebo",2.666666667
"Communication",2,5,"RoundRed","Redondo","Rojo","Fino",247,"faculito",3.1875
"Communication",2,5,"RoundGreen","Redondo","Verde","Fino",257,"facultito",3.8125
"Communication",2,5,"RoundBlue","Redondo","Azul","Fino",267,"faculito",3.1875
"Communication",2,5,"RoundRedThick","Redondo","Rojo","Grueso",248,"falucito",3
"Communication",2,5,"RoundGreenThick","Redondo","Verde","Grueso",258,"rombebe",2.666666667
"Communication",2,5,"RoundBlueThick","Redondo","Azul","Grueso",268,"falucito",3
"Communication",2,6,"SpikyRed","Picudo","Rojo","Fino",147,"romkbebe",4.6875
"Communication",2,6,"SpikyGreen","Picudo","Verde","Fino",157,"romkbebo",5.133333333
"Communication",2,6,"SpikyBlue","Picudo","Azul","Fino",167,"rombebo",2.666666667
"Communication",2,6,"SpikyRedThick","Picudo","Rojo","Grueso",148,"pilu",3.9375
"Communication",2,6,"SpikyGreenThick","Picudo","Verde","Grueso",158,"ronbebe",2.4
"Communication",2,6,"SpikyBlueThick","Picudo","Azul","Grueso",168,"ronbebo",2.666666667
"Communication",2,6,"RoundRed","Redondo","Rojo","Fino",247,"faculito",3.1875
"Communication",2,6,"RoundGreen","Redondo","Verde","Fino",257,"facultito",3.8125
"Communication",2,6,"RoundBlue","Redondo","Azul","Fino",267,"faculito",3.1875
"Communication",2,6,"RoundRedThick","Redondo","Rojo","Grueso",248,"falucito",3
"Communication",2,6,"RoundGreenThick","Redondo","Verde","Grueso",258,"falucito",3
"Communication",2,6,"RoundBlueThick","Redondo","Azul","Grueso",268,"falucito",3
"Communication",3,1,"SpikyRed","Picudo","Rojo","Fino",147,"romiba",3.2
"Communication",3,1,"SpikyGreen","Picudo","Verde","Fino",157,"romive",3.8125
"Communication",3,1,"SpikyBlue","Picudo","Azul","Fino",167,"romiaz",3.866666667
"Communication",3,1,"SpikyRedThick","Picudo","Rojo","Grueso",148,"romibaa",2.8
"Communication",3,1,"SpikyGreenThick","Picudo","Verde","Grueso",158,"nezuve",4.3125
"Communication",3,1,"SpikyBlueThick","Picudo","Azul","Grueso",168,"neruzeje",5.2
"Communication",3,1,"RoundRed","Redondo","Rojo","Fino",247,"romiba",3.2
"Communication",3,1,"RoundGreen","Redondo","Verde","Fino",257,"romiva",4.066666667
"Communication",3,1,"RoundBlue","Redondo","Azul","Fino",267,"neru",3.857142857
"Communication",3,1,"RoundRedThick","Redondo","Rojo","Grueso",248,"romiba",3.2
"Communication",3,1,"RoundGreenThick","Redondo","Verde","Grueso",258,"romive",3.8125
"Communication",3,1,"RoundBlueThick","Redondo","Azul","Grueso",268,"neruzejee",5.8
"Communication",3,2,"SpikyRed","Picudo","Rojo","Fino",147,"romiba",3.2
"Communication",3,2,"SpikyGreen","Picudo","Verde","Fino",157,"romiaz",3.866666667
"Communication",3,2,"SpikyBlue","Picudo","Azul","Fino",167,"neruzeje",5.2
"Communication",3,2,"SpikyRedThick","Picudo","Rojo","Grueso",148,"romibaa",2.8
"Communication",3,2,"SpikyGreenThick","Picudo","Verde","Grueso",158,"romive",3.8125
"Communication",3,2,"SpikyBlueThick","Picudo","Azul","Grueso",168,"neruzeje",5.2
"Communication",3,2,"RoundRed","Redondo","Rojo","Fino",247,"romiba",3.2
"Communication",3,2,"RoundGreen","Redondo","Verde","Fino",257,"romive",3.8125
"Communication",3,2,"RoundBlue","Redondo","Azul","Fino",267,"neru",3.857142857
"Communication",3,2,"RoundRedThick","Redondo","Rojo","Grueso",248,"romiva",4.066666667
"Communication",3,2,"RoundGreenThick","Redondo","Verde","Grueso",258,"romive",3.8125
"Communication",3,2,"RoundBlueThick","Redondo","Azul","Grueso",268,"neruzejee",5.8
"Communication",3,3,"SpikyRed","Picudo","Rojo","Fino",147,"romiva",4.066666667
"Communication",3,3,"SpikyGreen","Picudo","Verde","Fino",157,"romive",3.8125
"Communication",3,3,"SpikyBlue","Picudo","Azul","Fino",167,"neruzeje",5.2
"Communication",3,3,"SpikyRedThick","Picudo","Rojo","Grueso",148,"romiva",4.066666667
"Communication",3,3,"SpikyGreenThick","Picudo","Verde","Grueso",158,"romive",3.8125
"Communication",3,3,"SpikyBlueThick","Picudo","Azul","Grueso",168,"neruzeje",5.2
"Communication",3,3,"RoundRed","Redondo","Rojo","Fino",247,"romiba",3.2
"Communication",3,3,"RoundGreen","Redondo","Verde","Fino",257,"romive",3.8125
"Communication",3,3,"RoundBlue","Redondo","Azul","Fino",267,"neru",3.857142857
"Communication",3,3,"RoundRedThick","Redondo","Rojo","Grueso",248,"romiba",3.2
"Communication",3,3,"RoundGreenThick","Redondo","Verde","Grueso",258,"romive",3.8125
"Communication",3,3,"RoundBlueThick","Redondo","Azul","Grueso",268,"neruzejee",5.8
"Communication",3,4,"SpikyRed","Picudo","Rojo","Fino",147,"rremuva",3.466666667
"Communication",3,4,"SpikyGreen","Picudo","Verde","Fino",157,"remuvec",4.866666667
"Communication",3,4,"SpikyBlue","Picudo","Azul","Fino",167,"neruzeje",5.2
"Communication",3,4,"SpikyRedThick","Picudo","Rojo","Grueso",148,"remuva",3.533333333
"Communication",3,4,"SpikyGreenThick","Picudo","Verde","Grueso",158,"remuve",3.066666667
"Communication",3,4,"SpikyBlueThick","Picudo","Azul","Grueso",168,"neruzeje",5.2
"Communication",3,4,"RoundRed","Redondo","Rojo","Fino",247,"remuuba",2.333333333
"Communication",3,4,"RoundGreen","Redondo","Verde","Fino",257,"remuba",2.466666667
"Communication",3,4,"RoundBlue","Redondo","Azul","Fino",267,"neruseje",4.375
"Communication",3,4,"RoundRedThick","Redondo","Rojo","Grueso",248,"remuba",2.466666667
